text,label
can i make a reservation for redrobin,0
is it possible to make a reservation at redrobin,0
does redrobin take reservations,0
are reservations taken at redrobin,0
does redrobin do reservations,0
can acero take reservation,0
can you make reservations at hodak's,0
tell me if per se in nyc takes reservations,0
tell me if the cheshire takes reservations,0
will qdoba take reservations,0
does burger king accept reservations,0
does gramercy tavern in new york accept reservations,0
does acero in maplewood allow reservations,0
does cielo take reservations,0
find out if la tour d'argent in paris takes reservations,0
does tony's in downton let you make reservations,0
does gramercy tavern accept reservations,0
does mcdonalds take reservations,0
can you make reservations at steak 'n' shake,0
will nobu take reservations,0
do they take reservations at carrabbas,0
do they take reservations at applebees,0
do they take reservations at olive garden,0
do they take reservations at buffalo wild wings,0
do they take reservations at outback steakhouse,0
i need to know if angelos takes reservations,0
does applebees in trenton do reservations,0
does luigi's take reservations,0
please find out if napolis takes lunch reservations,0
does hannahs in galloway take reservations,0
does stanleys take brunch reservations,0
tell me if luigis in brick takes reservations,0
i need to know if capones does reservations in trenton,0
does marios in brooklyn take reservations,0
do you know if bottlenecks takes dinner reservations,0
do you know if whether or not zeus does reservations,0
can you let me if zeus accepts reservations,0
i need to find out do you know if zeus does reservations,0
please tell me does zeus do reservations,0
can you tell me if zeus does reservations,0
can i get a reservation at melting pot tomorrow,0
what locations of applebee's take reservations,0
can i get a reservation at champs,0
where can i find jimmy john's reservations,0
how many culver's take reservations,0
is there evening reservations available in the eve,0
do you know if bahama breeze does reservations,0
do you know if ruth chris does reservations,0
do you know if cheese cake factory does reservations,0
do you know if benihana does reservations,0
do you know if olive garden does reservations,0
does the steakhouse on main st take reservations,0
does sidetracks take reservations,0
are reservations allowed at burger king,0
does black rock take reservations,0
can i make reservations at applebee's or no,0
does buffalo wild wings do reservations,0
does minnies cafe in modesto take reservations,0
does bjs take reservations,0
will they take reservations at chillis,0
does pho king in ceres take reservations,0
can applebees take any reservations,0
does arbys in lakewood take reservations,0
does minnis take reservations,0
do they take reservations at bjs,0
does buffalo wild wings take reservations,0
does buffalo wild wings in concord take reservations,0
will they take reservations at torris,0
does black bear diner in tracy take reservations,0
does chillis take reservations,0
do they take reservations at bar tartine,0
do they take reservations at mcdonalds,0
do they take reservations at the progress,0
does tartine in san francisco take reservations,0
does cowgirl creamery in san francisco take reservations,0
do they take reservations at state bird,0
does nopa in san francisco take reservations,0
does bar tartine in san francisco take reservations,0
do they take reservations at arby's,0
does pizzeria delfina in san francisco take reservations,0
does iron skillet at the truck stop trake reservations,0
does the zen garden in la take reservations,0
does moes in la except rerservations,0
does ruby tuesday accept reservations,0
can i make a reservation at chevy's,0
is it possible to make reservations in advance for macaroni grill,0
is it possible to make reservations with famous dave's restaurant,0
is it possible to make reservations at chili's,0
does chili's take reservations,0
can you tell me if ruby tuesday does reservations,0
does olive garden take reservations,0
do you know whether ihop does reservations,0
does michael's accept reservations,0
do they accept reservations at michael's,0
can you make a reservation at michael's,0
can i make a reservation at michael's,0
does the restaurant michael's take reservations,0
do they take reservations at mendy's,0
do you know if outback allows reservations,0
do they take reservations at red robin,0
wake me up at noon tomorrow,2
set my alarm for getting up,2
make sure my alarm is set for three thirty in the morning,2
please set an alarm for mid day,2
have an alarm set for three in the morning,2
you need to set alarm for me,2
i need you to set alarm for me,2
set the alarm for me,2
can you set alarm for me,2
please set alarm for me,2
make a new alarm for 6 in the morning,2
make a new alarm,2
create an alarm,2
i need an alarm for 6am,2
can you alert me at 6 in the morning,2
i'd like a new alarm set for 6am,2
"set an alarm for 6am, please",2
initiate a new alarm please,2
set up an alarm,2
make up a new alarm,2
i want to make an alarm,2
i would like an alarm set,2
schedule an alarm,2
i need an alarm set,2
i need alarms set for 6am and 615am,2
i need an alarm to go off tomorrow at five fifteen,2
can you set an alarm for seven fifteen for tomorrow,2
set me an alarm for 4pm and another for 5pm,2
set one alarm for 215pm and another for 7pm,2
create an alarm for 9 am and another one for 11 am,2
set the alarm to go off at 9 tomorrow,2
make an alarm for tomorrow at twilight,2
set up two alarms one for 10am and another for 2pm,2
please set up an alarm to go off tomorrow at daybreak,2
could you set one alarm for 8am saturday and one for 9am sunday,2
can i turn on the alarm now,2
how do i set the alarm,2
please turn on the alarm,2
set my alarm for 6am tomorrow,2
set alarm for 6am,2
can you play an alarm at 5pm,2
create alarm 6am,2
set alarm for 5pm,2
make an alarm 6am,2
create an alarm for 6am,2
put in an alarm for 5pm,2
i want an alarm at 5pm,2
set my alarm for 5pm,2
set an alarm,2
create alarm,2
set alarm,2
i need an alarm to wake me up at 8 tomorrow morning,2
i need you to set an alarm for 8am tomorrow,2
please set an alarm for 5 am,2
set an alarm for 9pm please,2
i need an alarm set for 6 in the morning,2
i need an alarm set for 10:00 and another set for 3:00,2
set an alarm for me for 10:00 and another one set for 4:00,2
would you set my alarm for 10:00 and another for 3:00,2
provide assistance by setting an alarm at 8:00 and another for 11:00,2
assist me by setting my alarm for 9:00 and another for 11:00,2
tomorrow i need an alarm at 7 tomorrow,2
